no_keluarga,jumlah_indikator,kecamatan,kelurahan,ind_1,ind_2,ind_3,ind_4,ind_5,ind_6,ind_7,ind_8,jenis_kelamin,status_kawin,umur,ijazah_tertinggi,status_pekerjaan,jenis_lantai,jenis_dinding,jenis_atap,sumber_penerangan,daya_listrik,fasilitas_bab,sumber_air,bahan_bakar,bantuan_sembako,bantuan_pkh,bantuan_blt,subsidi_listrik,subsidi_lpg,bantuan_pemda,bantuan_non_pemerintah,jenis_disabilitas,butuh_pangan,butuh_sandang,butuh_kesehatan,butuh_pendidikan,butuh_dokumen,status_keluarga
17,2,bontang_selatan,tanjung_laut,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,1,1,21,,,2,1,3,1,2,1,02,05,2,2,2,1,2,2,2,0,2,2,0,0,0,4
18,5,bontang_utara,bontang_baru,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,1,2,33,1,4,6,3,3,2,0,2,04,04,1,2,2,1,1,2,1,0,2,2,0,0,0,2
18,4,bontang_utara,bontang_baru,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,2,2,48,3,,6,3,3,2,0,2,04,04,1,2,2,1,1,2,1,0,2,2,0,0,0,2
18,4,bontang_utara,bontang_baru,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,1,1,24,3,,6,3,3,2,0,2,04,04,1,2,2,1,1,2,1,0,2,2,0,0,0,2
18,4,bontang_utara,bontang_baru,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,2,1,6,,,6,3,3,2,0,2,04,04,1,2,2,1,1,2,1,0,2,2,0,"1,2",0,2
20,4,bontang_selatan,berbas_tengah,Tidak,Tidak,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,1,2,45,2,4,6,5,3,1,2,3,03,04,2,2,2,2,2,2,2,0,1,1,0,0,0,2
23,5,bontang_utara,bontang_baru,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,1,2,38,2,4,6,3,3,1,1,2,02,05,2,2,2,1,2,2,2,0,2,2,0,0,0,4
23,5,bontang_utara,bontang_baru,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,2,2,35,3,1,6,3,3,1,1,2,02,05,2,2,2,1,2,2,2,0,2,2,0,0,0,4
23,5,bontang_utara,bontang_baru,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,2,1,16,,,6,3,3,1,1,2,02,05,2,2,2,1,2,2,2,0,2,2,0,0,0,4
23,6,bontang_utara,bontang_baru,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,2,1,13,,,6,3,3,1,1,2,02,05,2,2,2,1,2,2,2,0,2,2,0,0,0,4
24,3,bontang_selatan,bontang_lestari,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,1,2,52,1,3,5,5,3,2,0,1,02,04,2,2,2,1,2,2,2,0,1,2,3,0,3,4
24,3,bontang_selatan,bontang_lestari,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,2,2,43,2,3,5,5,3,2,0,1,02,04,2,2,2,1,2,2,2,0,1,2,3,0,3,4
24,3,bontang_selatan,bontang_lestari,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,1,1,14,,,5,5,3,2,0,1,02,04,2,2,2,1,2,2,2,0,1,1,3,"1,4",0,4
24,3,bontang_selatan,bontang_lestari,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,2,1,9,,,5,5,3,2,0,1,02,04,2,2,2,1,2,2,2,0,1,1,3,4,0,4
25,4,bontang_barat,kanaan,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,1,1,0,3,,2,1,4,1,2,1,05,04,2,2,2,2,2,2,2,4,1,1,0,0,0,2
26,2,bontang_barat,gunung_telihan,Tidak,Tidak,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,1,2,30,3,4,7,5,3,1,3,1,02,04,2,2,2,2,2,2,2,0,2,2,0,2,0,4
26,2,bontang_barat,gunung_telihan,Tidak,Tidak,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,2,2,30,3,,7,5,3,1,3,1,02,04,2,2,2,2,2,2,2,0,2,2,0,0,0,4
26,2,bontang_barat,gunung_telihan,Tidak,Tidak,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,1,1,13,,,7,5,3,1,3,1,02,04,2,2,2,2,2,2,2,0,2,2,0,0,0,4
26,2,bontang_barat,gunung_telihan,Tidak,Tidak,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,1,1,4,,,7,5,3,1,3,1,02,04,2,2,2,2,2,2,2,0,2,2,0,0,0,4
29,2,bontang_utara,bontang_baru,Tidak,Tidak,Tidak,Memenuhi Kriteria,Tidak,Tidak,Memenuhi Kriteria,Tidak,1,4,71,,2,2,1,3,1,2,2,02,05,2,1,2,1,2,2,2,0,1,1,0,0,0,4
30,2,bontang_utara,lok tuan,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,1,4,50,3,,5,3,3,1,3,1,02,04,2,2,2,2,2,2,2,0,1,1,0,0,0,3
30,1,bontang_utara,lok tuan,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,1,1,23,3,4,5,3,3,1,3,1,02,04,2,2,2,2,2,2,2,0,2,2,0,0,0,3
30,2,bontang_utara,lok tuan,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,1,1,17,,,5,3,3,1,3,1,02,04,2,2,2,2,2,2,2,0,1,1,0,"1,4",0,3
30,2,bontang_utara,lok tuan,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,Tidak,Tidak,1,1,10,,,5,3,3,1,3,1,02,04,2,2,2,2,2,2,2,0,1,1,0,"1,4",0,3
31,5,bontang_utara,bontang_baru,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,1,4,52,1,1,6,3,3,1,1,2,02,04,1,2,2,1,1,2,2,0,2,2,0,0,0,3
32,4,bontang_selatan,berbas_tengah,Tidak ada nama Kepala Keluarga,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,2,2,40,1,,2,5,3,1,2,3,03,04,1,1,2,2,2,2,2,0,1,1,0,0,0,1
32,4,bontang_selatan,berbas_tengah,Tidak ada nama Kepala Keluarga,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,1,1,16,,,2,5,3,1,2,3,03,04,1,1,2,2,2,2,2,0,1,1,0,"1,4",0,1
32,4,bontang_selatan,berbas_tengah,Tidak ada nama Kepala Keluarga,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,1,1,12,,,2,5,3,1,2,3,03,04,1,1,2,2,2,2,2,0,1,1,0,1,0,1
32,4,bontang_selatan,berbas_tengah,Tidak ada nama Kepala Keluarga,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,1,1,5,,,2,5,3,1,2,3,03,04,1,1,2,2,2,2,2,0,1,1,0,0,0,1
33,1,bontang_selatan,bontang_lestari,Tidak ada nama Kepala Keluarga,Tidak,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,2,2,68,,,2,1,3,1,2,1,02,04,2,2,2,1,2,2,2,0,1,1,3,0,3,4
34,2,bontang_barat,gunung_telihan,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,Tidak,2,4,51,3,,2,1,3,1,2,1,02,04,1,2,2,1,1,2,2,0,1,2,0,0,0,3
34,2,bontang_barat,gunung_telihan,Memenuhi Kriteria,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,Tidak,1,1,16,,,2,1,3,1,2,1,02,04,1,2,2,1,1,2,2,0,1,2,0,0,0,3
36,1,bontang_selatan,tanjung_laut_indah,Tidak,Tidak,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,Tidak,2,2,45,3,,5,3,3,1,2,1,02,04,2,2,2,2,1,2,2,0,2,2,0,0,0,4
36,2,bontang_selatan,tanjung_laut_indah,Tidak,Tidak,Memenuhi Kriteria,Memenuhi Kriteria,Tidak,Tidak,Tidak,Tidak,1,1,24,3,,5,3,3,1,2,1,02,04,2,2,2,2,1,2,2,0,2,2,0,0,0,4
